# owtrad_nodes.csv — OWTRAD Silk Road network nodes
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-26T02:10:21Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# N = 194 nodes
dataset,name,lon,lat,country,node_id
tmcKGa0100d,Balasagun,75.333300,42.733300,KG,1005
tmcKGa0100d,Benket,69.300000,41.333000,UZ,162
tmcKGa0100d,Boom Canyon,75.800003,42.583332,KG,889
tmcKGa0100d,Dushanbe,68.773331,38.561111,TJ,1068
tmcKGa0100d,Hodjent,69.616669,40.283333,TJ,279
tmcKGa0100d,Irkeshtam,73.916664,39.683334,KG,183
tmcKGa0100d,Isfara,70.633331,40.116669,TJ,1813
tmcKGa0100d,Isfidjab,71.633331,40.483334,UZ,651
tmcKGa0100d,Kokand,70.949997,40.500000,UZ,219
tmcKGa0100d,loc01-tmc040320,72.183334,39.549999,KG,1286
tmcKGa0100d,loc02-tmc040320,73.250000,39.733334,KG,615
tmcKGa0100d,loc03-tmc040320,76.199997,42.466667,KG,531
tmcKGa0100d,loc04-tmc040320,78.333336,42.750000,KG,1819
tmcKGa0100d,loc05-tmc040320,79.233330,42.833332,KZ,1076
tmcKGa0100d,loc06-tmc040320,79.266670,43.066666,KZ,1066
tmcKGa0100d,loc07-tmc040320,79.470278,43.541667,KZ,1836
tmcKGa0100d,loc08-tmc040320,79.800003,44.150002,KZ,1835
tmcKGa0100d,loc09-tmc040320,80.016670,44.166668,CN,1216
tmcKGa0100d,loc11-tmc040320,73.300003,40.766666,KG,678
tmcKGa0100d,loc12-tmc040320,73.633331,40.849998,KG,1839
tmcKGa0100d,loc13-tmc040320,73.699997,40.883331,KG,1841
tmcKGa0100d,loc14-tmc040320,74.250000,41.083332,KG,1837
tmcKGa0100d,loc15-tmc040320,74.750000,40.750000,KG,1838
tmcKGa0100d,loc16-tmc040320,77.099998,42.666668,KG,1821
tmcKGa0100d,Nuzket,73.866669,42.816666,KG,1811
tmcKGa0100d,Osh,72.800003,40.533333,KG,117
tmcKGa0100d,Samarkand,66.950000,39.667000,UZ,141
tmcKGa0100d,Taraz,71.417000,42.833000,KZ,515
tmcKGa0100d,Termez,67.266670,37.233334,UZ,532
tmcKGa0100d,Turugart Pass,75.400002,40.533333,KG/CN,516
tmcKGa0100d,Zamin Rabat,68.400002,39.966667,UZ,1852
tmcZCAm1000,loc03-tmc010205,36.707779,45.207779,RU,696
tmcZCAm1000,Etil,47.017000,47.250000,RU,72
