# owtrad_routes.csv — OWTRAD Silk Road route network (edge list)
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-27T04:51:52Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# Datasets attempted: tmcXMEm1400, tmcTRm1200a, tmcTRm1200b, tmcTRm1300, tmcIRa0100, tmcIRa0500, tmcZCAm0200, tmcZCAm0600, tmcZCAm0800, tmcZCAm1000, tmcZCAm1000a, tmcTMm1100, tmcTJm0400a, tmcTJm0400b, tmcKGa0100a, tmcKGa0100b, tmcKGa0100c, tmcKGa0100e, tmcZMEm1300, tmcINm1550, tmcCNm1000, tmcCNm0620, tmcCNm0680a, tmcCNm0680b, tmcCNm0680c, tmcCNm1500, tmcCNm1700, tmcCNm1850, tmcCNm1920, tmcKHm1200, tmcKGa0100d
# Licence: Open Publication License v1.0
# N = 1946 edges
dataset,lon1,lat1,lon2,lat2,node1,node2,country1,country2
tmcXMEm1400,12.326667,45.438610,13.848100,44.868300,Venice,loc01-tmc051112,IT,HR
tmcXMEm1400,13.848100,44.868300,15.242200,44.119700,loc01-tmc051112,Zara,HR,HR
tmcXMEm1400,15.242200,44.119700,15.987900,43.376600,Zara,sealoc02-tmc050503,HR,HR
tmcXMEm1400,15.987900,43.376600,18.088612,42.650555,sealoc02-tmc050503,loc02-tmc051112,HR,HR
tmcXMEm1400,18.088612,42.650555,19.919722,39.619999,loc02-tmc051112,Corfu,HR,GR
tmcXMEm1400,19.919722,39.619999,15.300000,37.067000,Corfu,Syracuse,GR,IT
tmcXMEm1400,15.300000,37.067000,15.566700,38.183300,Syracuse,Messina,IT,IT
tmcXMEm1400,15.566700,38.183300,13.383000,38.133000,Messina,Palermo,IT,IT
tmcXMEm1400,13.383000,38.133000,2.650000,39.566700,Palermo,Palma,IT,ES
tmcXMEm1400,2.650000,39.566700,-1.660000,36.500000,Palma,sealoc01-tmc051112,ES,ES
