tau_beru,tau_km,null_pct,n_all_a,obs_pct_all_a,enrich_all_a,p_all_a,n_dome_a,obs_pct_dome_a,enrich_dome_a,p_dome_a,n_all_c,enrich_all_c,p_all_c,n_dome_c,enrich_dome_c,p_dome_c_depl,tier,tier_a,tier_c
0.0001,0.333,0.2,5,0.495,2.473,0.05447719232402263,2,2.41,12.048,0.012226511021083878,4,1.978,0.14668932045093241,0,0.0,0.8469054484544315,,,
0.0001094,0.364,0.2188,5,0.495,2.26,0.0736415527292777,2,2.41,11.011,0.014492580995442267,4,1.808,0.18294132248526904,0,0.0,0.8337356986407263,,,
0.0001197,0.399,0.2395,5,0.495,2.065,0.09827419560928781,2,2.41,10.063,0.017162629393811905,5,2.065,0.09827419560928781,0,0.0,0.8195569049943214,,,
0.000131,0.436,0.262,6,0.593,2.265,0.05248887833793736,2,2.41,9.196,0.02030391712406682,5,1.887,0.1293463901306166,0,0.0,0.8043151089721945,,,
0.0001434,0.477,0.2867,6,0.593,2.07,0.07376152109139443,2,2.41,8.404,0.023993496454372126,5,1.725,0.16774428784640083,0,0.0,0.7879580517500407,,,
0.0001569,0.522,0.3137,6,0.593,1.892,0.10188882894529926,2,2.41,7.681,0.028319216414594374,5,1.576,0.21413971628002013,0,0.0,0.7704363035692918,,,
0.0001716,0.572,0.3433,6,0.593,1.729,0.1381756048497101,2,2.41,7.019,0.033380698860674074,5,1.441,0.26883540815255824,0,0.0,0.7517045932115438,,,
0.0001878,0.625,0.3756,7,0.692,1.843,0.09027443028848361,2,2.41,6.415,0.03929023121030805,5,1.317,0.33160249836529315,0,0.0,0.7317233513126402,,,
0.0002055,0.684,0.411,7,0.692,1.685,0.12705096149199172,2,2.41,5.863,0.04617350421729634,5,1.203,0.4015395112084753,0,0.0,0.7104604766393317,,,
0.0002249,0.749,0.4497,7,0.692,1.54,0.17456712246832654,2,2.41,5.358,0.054170102443709046,5,1.1,0.47699121678083173,0,0.0,0.6878933276248425,,,
0.0002461,0.819,0.4921,8,0.791,1.608,0.13027699526711037,3,3.614,7.345,0.008169896560672943,5,1.005,0.5555679770761088,0,0.0,0.664010931903957,,,
0.0002692,0.897,0.5385,8,0.791,1.47,0.1831359461021435,3,3.614,6.712,0.010414876337482497,5,0.918,0.6342966635536591,0,0.0,0.6388163938053367,,,
0.0002946,0.981,0.5892,8,0.791,1.343,0.24967770599747402,3,3.614,6.134,0.013243298282060258,6,1.007,0.5478208538117958,0,0.0,0.6123294632922991,,,
0.0003224,1.073,0.6447,8,0.791,1.227,0.32965715694134046,3,3.614,5.606,0.01679361804760551,7,1.074,0.47658326851051136,0,0.0,0.5845892093497879,,,
0.0003527,1.175,0.7055,9,0.89,1.262,0.28788767397344767,3,3.614,5.124,0.02123204338725522,7,0.981,0.5703770459616254,0,0.0,0.5556567161639969,,,
0.000386,1.285,0.7719,9,0.89,1.153,0.38002799155437533,3,3.614,4.682,0.026756129134709823,10,1.281,0.25882904305392923,0,0.0,0.5256176918458643,,,
0.0004223,1.406,0.8446,9,0.89,1.054,0.48262082589321054,3,3.614,4.279,0.03359804213704692,10,1.171,0.35189407903057796,0,0.0,0.49458484763378324,,,
0.0004621,1.539,0.9242,10,0.989,1.07,0.45802064204041476,3,3.614,3.911,0.04202708073505615,11,1.177,0.33511240397022324,0,0.0,0.4626998719004528,,,
0.0005057,1.684,1.0113,11,1.088,1.076,0.445140407499191,3,3.614,3.574,0.052350889165840866,12,1.174,0.3285397135229616,0,0.0,0.4301347902209257,,,
0.0005533,1.842,1.1066,12,1.187,1.073,0.44323854808735974,3,3.614,3.266,0.06491464888980585,12,1.073,0.44323854808735974,0,0.0,0.39709247367866396,,,
0.0006054,2.016,1.2108,12,1.187,0.98,0.566587882221022,3,3.614,2.985,0.08009737120654707,14,1.144,0.3437103038568413,0,0.0,0.36380603718896704,,,
0.0006625,2.206,1.3249,16,1.583,1.194,0.2713361413247058,4,4.819,3.637,0.024785840329780318,16,1.194,0.2713361413247058,0,0.0,0.33053686387300263,,,
0.0007249,2.414,1.4498,18,1.78,1.228,0.22138988721154942,5,6.024,4.155,0.007304095226216511,17,1.16,0.3024352493192075,0,0.0,0.29757100748083687,,,
0.0007932,2.641,1.5863,19,1.879,1.185,0.25949126156577085,6,7.229,4.557,0.0021221797355724793,20,1.247,0.1887390239593879,0,0.0,0.2652137701989011,,,
0.0008679,2.89,1.7358,20,1.978,1.14,0.3085650860005305,6,7.229,4.165,0.0033041229992540294,22,1.254,0.16930896675756638,1,0.694,0.5765455551310701,,,
0.0009497,3.162,1.8993,24,2.374,1.25,0.16040169409744262,6,7.229,3.806,0.005098113387853553,24,1.25,0.16040169409744262,1,0.634,0.5307706492187081,,,
0.0010391,3.46,2.0783,27,2.671,1.285,0.11559365246132315,6,7.229,3.478,0.007789154661639859,26,1.237,0.16059993905884648,1,0.58,0.48318806169842543,,,
0.001137,3.786,2.2741,33,3.264,1.435,0.02731860672208658,7,8.434,3.709,0.0028930157531065876,30,1.305,0.08873365009925908,1,0.53,0.4343937529891888,,,
0.0012442,4.143,2.4883,34,3.363,1.352,0.051041288672064374,7,8.434,3.389,0.004717928926147288,33,1.312,0.07348834738665451,1,0.484,0.38509776047063865,,,
0.0013614,4.533,2.7228,38,3.759,1.38,0.031635003269474056,9,10.843,3.982,0.0004393032004206418,35,1.271,0.09231658615085256,1,0.442,0.33610443992370387,,,
0.0014897,4.961,2.9793,42,4.154,1.394,0.02165063053106239,10,12.048,4.044,0.00018397903769873324,37,1.228,0.12080856424999681,1,0.404,0.28828103121665644,,,
0.0016,5.328,3.2,44,4.352,1.36,0.02733999833607038,10,12.048,3.765,0.0003243450468669664,38,1.175,0.17748236243325036,1,0.377,0.25174884590720303,A++,A++,C--
0.00163,5.428,3.26,44,4.352,1.335,0.03530751002989727,10,12.048,3.696,0.0003752109986313486,40,1.214,0.124874809111745,1,0.37,0.24251483246028976,A++,A++,C--
0.0017836,5.939,3.5672,51,5.045,1.414,0.009716889374472617,10,12.048,3.378,0.0007517598375106397,44,1.22,0.10603995779593553,1,0.338,0.19966092629723162,,,
0.0019516,6.499,3.9032,55,5.44,1.394,0.009731282569619967,11,13.253,3.395,0.000385782090982044,45,1.14,0.204188154012833,1,0.309,0.1604843295502902,,,
0.0021355,7.111,4.271,62,6.133,1.436,0.0033925294621477186,11,13.253,3.103,0.0008120962835944671,48,1.112,0.2466583366275041,1,0.282,0.12560233521279845,,,
0.0023367,7.781,4.6734,67,6.627,1.418,0.0031607474055698535,11,13.253,2.836,0.0016700610745854925,56,1.185,0.11128213406576917,3,0.773,0.45324058384157684,,,
0.0025568,8.514,5.1137,72,7.122,1.393,0.0034742459613930697,11,13.253,2.592,0.003347872819594041,60,1.161,0.13357761390420747,3,0.707,0.38125816307106586,,,
0.0027977,9.316,5.5955,80,7.913,1.414,0.0014164183510017563,11,13.253,2.369,0.006526658728685396,64,1.131,0.17086073102888746,4,0.861,0.501503399712696,,,
0.0030613,10.194,6.1227,82,8.111,1.325,0.006623724251227506,11,13.253,2.165,0.01234216889343902,72,1.163,0.10575360079179709,5,0.984,0.6012056109465902,A+,A+,C-
0.00321,10.689,6.42,88,8.704,1.356,0.0027224322686557768,11,13.253,2.064,0.017037636030985962,73,1.125,0.16458849429399117,5,0.938,0.5566384079605223,A+,A+,C-
0.0033498,11.155,6.6995,91,9.001,1.344,0.002977037841108613,11,13.253,1.978,0.022577971865668473,77,1.137,0.1357195861785626,5,0.899,0.5152580364225934,A+,A+,C-
0.0036654,12.206,7.3307,96,9.496,1.295,0.006301427013535494,11,13.253,1.808,0.03983934297238237,79,1.066,0.2940463884569324,5,0.822,0.4256394780893148,,,
0.0040107,13.356,8.0214,104,10.287,1.282,0.006008282070835257,11,13.253,1.652,0.06760106595454192,86,1.06,0.30089125157854013,7,1.051,0.6518142249793908,,,
0.0043886,14.614,8.7771,116,11.474,1.307,0.0020587157597264046,14,16.867,1.922,0.013000949390468046,91,1.026,0.4165852341782322,7,0.961,0.5544430977730774,,,
0.004802,15.991,9.6041,124,12.265,1.277,0.003172496553814321,15,18.072,1.882,0.012139110146519883,100,1.03,0.39363086797786223,7,0.878,0.4500508740194852,,,
0.0052545,17.497,10.5089,137,13.551,1.289,0.0013520679527378307,17,20.482,1.949,0.005298557133178418,105,0.988,0.5658594997020285,7,0.803,0.34542960194120925,,,
0.0057495,19.146,11.499,148,14.639,1.273,0.0014197712746057557,17,20.482,1.781,0.012626724973074835,111,0.955,0.7118277345418103,8,0.838,0.37474667710883836,,,
0.0062912,20.95,12.5824,156,15.43,1.226,0.004441776655045936,19,22.892,1.819,0.0065717138569530535,125,0.983,0.5970425441039137,10,0.958,0.52410489767725,A,A,C
0.00642,21.379,12.84,157,15.529,1.209,0.00708771122913984,20,24.096,1.877,0.0036629831597764775,127,0.978,0.6182247397056833,10,0.938,0.4958511002662527,A,A,C
0.0068839,22.923,13.7679,166,16.419,1.193,0.009309987855694696,21,25.301,1.838,0.0036572990494851093,140,1.006,0.4844327632108818,11,0.963,0.5247133180540262,,,
0.0075325,25.083,15.065,172,17.013,1.129,0.04747971560714983,21,25.301,1.679,0.010271793801972831,153,1.005,0.4891557716042106,13,1.04,0.6322493454145384,,,
0.0082422,27.446,16.4844,187,18.497,1.122,0.04788407827015758,21,25.301,1.535,0.026408401022822808,169,1.014,0.4342996938738606,14,1.023,0.6075548758725637,,,
0.0090187,30.032,18.0375,198,19.585,1.086,0.10857387350985401,22,26.506,1.469,0.03568608400955988,187,1.025,0.36451418571777267,14,0.935,0.4585569310257233,,,
0.0098684,32.862,19.7369,223,22.057,1.118,0.03615821192822403,25,30.12,1.526,0.015768632291949438,203,1.017,0.40461289871195016,15,0.916,0.4143789052772207,,,
0.0107982,35.958,21.5964,240,23.739,1.099,0.05410779450912495,28,33.735,1.562,0.007238825992475474,213,0.976,0.6702025905642955,15,0.837,0.2638349184871745,,,
0.0118156,39.346,23.6311,262,25.915,1.097,0.04832519696111758,29,34.94,1.479,0.01325501338471941,229,0.959,0.7787745159192457,16,0.816,0.21292101810178266,,,
0.0129288,43.053,25.8575,287,28.388,1.098,0.03678821239343773,30,36.145,1.398,0.024716218767558282,256,0.979,0.6629103053796322,17,0.792,0.16026060206912734,,,
0.0141469,47.109,28.2937,312,30.861,1.091,0.03863517769678971,32,38.554,1.363,0.0278757859207999,281,0.982,0.6491943732501422,19,0.809,0.1660074310400258,,,
0.0154797,51.547,30.9594,341,33.729,1.089,0.03140203282885092,34,40.964,1.323,0.034165956040642716,311,0.994,0.565855794647615,21,0.817,0.15951999730670333,,,
