# wikidata_stupas_q180987.csv — Wikidata Q180987 stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/fetch_wikidata_q180987.py --fetch
# Generated: 2026-04-02T17:04:37Z
# Source: https://query.wikidata.org/sparql
# Query: SELECT DISTINCT ?item (P31/P279* wd:Q180987) with P625 coords
# Filters: none (global, no longitude/date/label filter)
# N = 229
qid,name,lat,lon,country
Q106309173,Q106309173,0.33572,100.64148,Indonesia
Q106279642,Q106279642,-8.50329,115.55234,Indonesia
Q97307770,Candi Lawang,-7.52338,110.5195,Indonesia
Q66793716,Chedi Laem So,9.411666666,99.968055555,Thailand
Q106278522,Q106278522,-1.47593,103.6586,Indonesia
Q106278525,Q106278525,-1.47593,103.6586,Indonesia
Q123159073,Candi Dwarawati,-7.1975341,109.9108197,Indonesia
Q97503573,Candi Lor,-7.637859635,111.892109147,Indonesia
Q13024490,Chedi Khao Phanom Khuat,13.118371,99.936797,Thailand
Q97307944,Candi Tebing Krobokan,-8.485011,115.3084916,Indonesia
Q106278713,Q106278713,1.37394,99.75307,Indonesia
Q106278719,Q106278719,1.40527,99.73448,Indonesia
Q65211466,Candi Padang Roco,-0.963570541,101.599284166,Indonesia
Q106278682,Q106278682,-8.53663,115.2532,Indonesia
Q106309217,Q106309217,-7.20833,109.90417,Indonesia
Q13017557,Phra Maha Chedi Chai Mongkhon,16.333055555,104.321111111,Thailand
Q106282029,Q106282029,-0.952596336,101.56004218,Indonesia
Q106280209,Q106280209,-3.34768,104.0894,Indonesia
Q106279438,Q106279438,-1.47769,103.67088,Indonesia
Q106279426,Q106279426,-0.9527103,101.561401,Indonesia
Q100988991,Q100988991,1.41176,99.72235,Indonesia
Q25470088,Q25470088,-7.7105644,110.1598346,Indonesia
Q106278715,Q106278715,1.37823,99.75579,Indonesia
Q25470258,Q25470258,-7.7105644,110.1598346,Indonesia
Q106278724,Q106278724,1.40904,99.72638,Indonesia
Q106278527,Q106278527,-1.47885,103.68805,Indonesia
Q97307769,Q97307769,-1.47719,103.66705,Indonesia
Q1150964,Phra Pathommachedi,13.819719444,100.060280555,Thailand
Q106278519,Q106278519,-1.47589,103.6687,Indonesia
Q25465474,Klodangan Temple,-7.816111111,110.421944444,Indonesia
Q56208841,Sipamutung Temple,1.39273,99.75465,Indonesia
Q106278723,Q106278723,1.40546,99.73106,Indonesia
Q106309188,Q106309188,1.40752,99.70577,Indonesia
Q100371207,Phra That Wat Ton Kok,18.555,98.875833333,Thailand
Q97307551,Q97307551,-7.743952,110.496117,Indonesia
Q33100876,Chedi Tha Chai,17.068196,99.04881,Thailand
Q106278717,Q106278717,1.38329,99.75845,Indonesia
Q25466759,Q25466759,-7.726103,110.410975,Indonesia
Q127438399,Candi Bukit Batu Pahat,5.7392,100.4137,Malaysia
Q134972321,"Jinavara Sirivaddhana Memorial, Wat Ratchabophit",13.7488147,100.4970741,Thailand
Q127441817,Candi Pengkalan Bujang,5.6844,100.4242,Malaysia
Q106279436,Q106279436,-1.47078,103.63872,Indonesia
Q106278726,Q106278726,1.48314,99.64142,Indonesia
Q30673285,Phra Chedi Klang Nam,12.666083333,101.241861111,Thailand
