UNESCO A-TIER SITES: GERIZIM vs JERUSALEM ANCHOR COMPARISON
Generated : Fri Apr 17 01:53:57 UTC 2026
Script    : tools/generate_audit_aplus_sites.py
Corpus    : 1011 inscribed Cultural/Mixed UNESCO sites with coordinates
           + 1 synthetic Gerizim entry = 1012 extended corpus
Beru      : 30.0°  |  A+ threshold: <= 0.002 beru (6.7 km)  |  A threshold: <= 0.01 beru (33 km)
Gerizim   : 35.269°E  (Tentative List, ref. 5706 — not yet inscribed)
Jerusalem : 35.2317°E  (inscribed corpus member)  [0.0373° = 4.1 km separation]
Self-exclusion: each anchor removes itself → both test against N=1011.
  Gerizim corpus : N=1011  (inscribed 1011, excl. Gerizim; incl. Jerusalem)
  Jerusalem corpus: N=1011  (inscribed 1011, excl. Jerusalem; incl. Gerizim)

────────────────────────────────────────────────────────────────────────────────────────────────
SUMMARY

  Anchor           N corpus    A++     A+   A (all)    A+ %       A+ p           A %        A p      
  --------------------------------------------------------------------------------------
  Gerizim              1011      7     56       228    5.5%     0.0103     *   22.6%     0.0246     *
  Jerusalem            1011      7     57       218    5.6%     0.0070    **   21.6%     0.1151    ns

  A+ null rate: 4%   A null rate: 20%
  A+ overlap (both anchors): 38 sites
  A+ unique to Gerizim: 18 sites
  A+ unique to Jerusalem: 19 sites

────────────────────────────────────────────────────────────────────────────────────────────────
GERIZIM (35.269°E) — ALL A-TIER SITES  (A++=7, A+=56, A=172, total=228)
  Tier   Dev (beru)      km  Dir  Harmonic      Lon°E  Site
  ----------------------------------------------------------------------------------------
  --- A++ ---
  A++      0.000024     0.1    W       0.9     8.2697  <I>Sacri Monti</I> of Piedmont and Lombardy
  A++      0.000069     0.2    E       1.1    68.2711  Mausoleum of Khoja Ahmed Yasawi
  A++      0.000078     0.3    E       0.1    38.2667  Site of Palmyra
  A++      0.000094     0.3    W       0.4    23.2662  Boyana Church
  A++      0.000095     0.3    W       4.2   -90.7282  Antigua Guatemala
  A++      0.000120     0.4    W       0.7    14.2726  Holašovice Historic Village
  A++      0.000180     0.6    W       1.3    -3.7364  Historic Town of Grand-Bassam

  --- A+ ---
  A+       0.000237     0.8    E       1.6    83.2761  Lumbini, the Birthplace of the Lord Buddha
  A+       0.000326     1.1    W       0.4    23.2788  Brâncuși Monumental Ensemble of Târgu Jiu
  A+       0.000430     1.4    W       0.8    11.2561  Historic Centre of Florence
  A+       0.000478     1.6    W       1.2    -0.7167  Palmeral of Elche
  A+       0.000541     1.8    W       0.4    23.2528  Old City of Zamość
  A+       0.000615     2.0    E       1.4    77.2506  Humayun's Tomb, Delhi
  A+       0.000618     2.1    W       0.6    17.2505  Holy Trinity Column in Olomouc
  A+       0.000626     2.1    E       0.1    38.2878  The Gedeo Cultural Landscape
  A+       0.000643     2.1    W       0.7    14.2497  Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo
  A+       0.000700     2.3    E       2.0    95.2900  Pyu Ancient Cities
  A+       0.000707     2.4    W       0.8    11.2478  Medici Villas and Gardens in Tuscany
