SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
  ---------------------------------------------------------------------------------------------------------
      1     6    92    218   -72.7972  Chiribiquete National Park – “The Maloca of the Jaguar”
      1     6    92    218    17.2039  Richtersveld Cultural and Botanical Landscape
      1     6    92    223    35.2075  Birthplace of Jesus: Church of the Nativity and the Pilgrimage Ro
      1     6    92    223    44.2081  Old City of Sana'a
      1     6    92    223    62.2081  Silk Roads: Zarafshan-Karakum Corridor
      1     5    92    220   -69.7941  Humberstone and Santa Laura Saltpeter Works

      7     7    91    221    -9.7867  Medina of Essaouira (formerly Mogador)

      8     6    90    220   101.2258  Deer Stone Monuments and Related Bronze Age Sites
      8     4    90    222    -3.7831  New Lanark
      8     4    90    222    20.2167  Wooden Churches of Southern Małopolska
      8     4    90    222    23.2167  Dacian Fortresses of the Orastie Mountains

     12     9    89    218    47.2350  Takht-e Soleyman
     12     9    89    218   122.2354  Baroque Churches of the Philippines
     12     8    89    219    17.2369  The <I>Trulli</I> of Alberobello
     12     5    89    222    98.2250  The Great Wall
     12     4    89    222    80.2163  Old Town of Galle and its Fortifications
     12     3    89    223    80.1989  Group of Monuments at Mahabalipuram

     18     8    88    218   110.2301  Borobudur Temple Compounds
     18     7    88    217    35.2317  Old City of Jerusalem and its Walls  ◄ JERUSALEM
     18     7    88    228    35.2690  Mount Gerizim (Tentative List, ref. 5706)  ◄ GERIZIM (synthetic)
     18     7    88    228    68.2711  Mausoleum of Khoja Ahmed Yasawi
     18     7    88    218   146.2306  Tasmanian Wilderness
     18     6    88    218   -96.7681  Historic Centre of Oaxaca and Archaeological Site of Monte Albán
     18     4    88    226    38.2878  The Gedeo Cultural Landscape
     18     4    88    227    47.1875  Historic Centre of Sheki with the Khan’s Palace
     18     3    88    224    14.1921  Historic Centre of Naples
     18     2    88    223    35.1958  Tyre

     28     8    87    222    -3.7040  Burgos Cathedral
     28     7    87    228   -90.7282  Antigua Guatemala
     28     7    87    222     2.2964  Belfries of Belgium and France
     28     7    87    226    38.2667  Site of Palmyra
     28     6    87    229     8.2697  <I>Sacri Monti</I> of Piedmont and Lombardy
     28     6    87    227    14.2726  Holašovice Historic Village
     28     6    87    227    23.2662  Boyana Church
     28     6    87    222    29.2976  Xanthos-Letoon
     28     5    87    225   107.2911  Silk Roads: the Routes Network of Chang'an-Tianshan Corridor
     28     4    87    227    23.1870  Rock Art of Alta
     28     4    87    222    35.2244  Kizhi Pogost
     28     4    87    226    77.1853  Qutb Minar and its Monuments, Delhi
     28     4    87    225    95.2900  Pyu Ancient Cities
     28     4    87    226   116.1851  Site of Xanadu
     28     3    87    222    -6.7761  Las Médulas
     28     2    87    227    23.2788  Brâncuși Monumental Ensemble of Târgu Jiu

     44     6    86    223    14.2931  Archaeological Site of Leptis Magna
     44     6    86    219    26.2390  Archaeological Site of Troy
     44     6    86    219    29.2389  Mapungubwe Cultural Landscape
     44     5    86    222    -3.6987  Cliff of Bandiagara (Land of the Dogons)
     44     5    86    222     2.3017  Amiens Cathedral
     44     5    86    222    11.2478  Medici Villas and Gardens in Tuscany
     44     5    86    222    11.3019  The Porticoes of Bologna
     44     5    86    226    17.2505  Holy Trinity Column in Olomouc
     44     5    86    226    23.2528  Old City of Zamość
     44     5    86    226    77.2506  Humayun's Tomb, Delhi
     44     4    86    222    14.2497  Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Ko
     44     4    86    226    83.2761  Lumbini, the Birthplace of the Lord Buddha
     44     3    86    228    -3.7364  Historic Town of Grand-Bassam
     44     3    86    227    11.2561  Historic Centre of Florence
     44     2    86    229    -0.7167  Palmeral of Elche

     59     6    85    221    77.2408  Red Fort Complex
     59     5    85    221    17.2421  Via Appia. <em>Regina Viarum</em>
     59     4    85    226   -63.8205  Fuerte de Samaipata
     59     4    85    226    29.1769  Fossil Hominid Sites of South Africa

     63     4    84    227     2.1750  Palau de la Música Catalana and Hospital de Sant Pau, Barcelona

     64     4    83    227    29.1731  Bursa and Cumalıkızık: the Birth of the Ottoman Empire
     64     1    83    224    23.3086  Rila Monastery

     66     4    82    226    38.1726  Cultural Landscape of Kenozero Lake
     66     2    82    224    -3.6871  Paseo del Prado and Buen Retiro, a landscape of Arts and Sciences

     68     8    80    225     5.3259  Bryggen
     68     8    80    225    14.3264  18th-Century Royal Palace at Caserta with the Park, the Aqueduct 
     68     6    80    225    44.3246  Cathedral and Churches of Echmiatsin and the Archaeological Site 
     68     4    80    225  -111.8456  The 20th-Century Architecture of Frank Lloyd Wright
     68     2    80    225    14.3150  Historic Centre of Český Krumlov
     68     2    80    225    35.1589  Palestine: Land of Olives and Vines – Cultural Landscape of South

     74    10    79    205    37.4000  Konso Cultural Landscape
     74     9    79    204    79.4014  Maratha Military Landscapes of India
     74     8    79    205   -43.5977  Historic Centre of the Town of Diamantina
     74     6    79    227   -69.6792  Coro and its Port
     74     5    79    226     2.3211  Paris, Banks of the Seine
     74     5    79    225   128.3213  Gaya Tumuli
     74     3    79    227    53.1673  Pasargadae
     74     1    79    225   -45.8344  Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice

     82     5    78    224    11.3317  Historic Centre of Siena
     82     5    78    225   158.3308  Nan Madol: Ceremonial Centre of Eastern Micronesia

     84    11    77    205    13.3986  Museumsinsel (Museum Island), Berlin
     84    11    77    205    58.3986  The Persian Qanat
     84    10    77    205    25.3992  Thracian Tomb of Kazanlak
     84     6    77    225    11.3286  Classical Weimar
     84     5    77    224    -6.8469  Rabat, Modern Capital and Historic City: a Shared Heritage
     84     3    77    206    -1.5883  Studley Royal Park including the Ruins of Fountains Abbey
     84     3    77    206     1.4164  Canal du Midi

     91    11    76    205     4.3978  Plantin-Moretus House-Workshops-Museum Complex
     91    11    76    205    10.3964  Piazza del Duomo, Pisa
     91    10    76    205    49.3962  Gobustan Rock Art Cultural Landscape
     91     6    76    226  -138.6556  Te Henua Enata – The Marquesas Islands
     91     6    76    224    14.3342  Villa Romana del Casale
     91     5    76    224   -57.8499  Historic Quarter of the City of Colonia del Sacramento
     91     5    76    225     5.1476  Rietveld Schröderhuis (Rietveld Schröder House)
     91     4    76    224   101.1511  The Ancient Town of Si Thep and its Associated Dvaravati Monument
     91     4    76    228   113.3494  Mount Wutai
     91     3    76    228    38.3611  Arslantepe Mound
     91     2    76    205     4.4161  Stoclet House
     91     2    76    205     4.4161  Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc,
     91     2    76    198    16.4833  Agricultural Landscape of Southern Öland

    104    11    75    205    40.3974  White Monuments of Vladimir and Suzdal
    104    10    75    205   100.3951  Ombilin Coal Mining Heritage of Sawahlunto
    104     8    75    194     9.3778  Abbey of St Gall
    104     7    75    203     1.4452  Ibiza, Biodiversity and Culture
    104     7    75    203   118.4442  Quanzhou: Emporium of the World in Song-Yuan China
    104     6    75    203    -7.5531  Roman Walls of Lugo
    104     6    75    203    10.4476  Benedictine Convent of St John at Müstair
    104     6    75    203    85.4439  Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar
    104     5    75    199   -10.5386  Sceilg Mhichíl
    104     5    75    189     9.4200  Jelling Mounds, Runic Stones and Church
    104     5    75    190    51.4205  Golestan Palace
    104     5    75    193    54.3731  Historic City of Yazd
    104     4    75    202     4.4408  Major Mining Sites of Wallonia
    104     4    75    227    11.3411  Rock Carvings in Tanum
    104     4    75    190   132.4169  Iwami Ginzan Silver Mine and its Cultural Landscape
    104     3    75    198   -71.2106  Historic District of Old Québec
    104     3    75    227   -42.6524  Serra da Capivara National Park
    104     3    75    200    12.7963  Villa d'Este, Tivoli
    104     3    75    203    16.4392  Historical Complex of Split with the Palace of Diocletian
    104     3    75    199    24.7922  Historic Centre of Sighişoara
    104     3    75    194    24.8142  Minoan Palatial Centres
    104     3    75    196    76.4717  Group of Monuments at Hampi
    104     3    75    228   134.3525  Rock Islands Southern Lagoon
    104     2    75    228    35.3536  Masada

    128     9    74    194   -89.6167  Tikal National Park
    128     9    74    194   -86.6163  Ruins of León Viejo
    128     9    74    194    -8.6167  Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra d
    128     9    74    195     3.3893  Notre-Dame Cathedral in Tournai
    128     9    74    205    10.3930  Prehistoric Pile Dwellings around the Alps
    128     9    74    194    12.3833  Grimeton Radio Station, Varberg
    128     8    74    195   -59.6139  Historic Bridgetown and its Garrison
    128     8    74    195   120.3875  Historic City of Vigan
    128     8    74    194   132.3839  Kakadu National Park
    128     8    74    195   165.3806  Bikini Atoll Nuclear Test Site
    128     7    74    225     2.1442  Episcopal City of Albi
    128     6    74    199   -83.2198  Hopewell Ceremonial Earthworks
    128     6    74    193   -71.6280  Historic Quarter of the Seaport City of Valparaíso
    128     6    74    203   -55.5500  L’Anse aux Meadows National Historic Site
    128     6    74    193    54.3760  The Persian Caravanserai
    128     6    74    199   102.7800  Cultural Landscape of Honghe Hani Rice Terraces
    128     5    74    189   -89.5787  Pre-Hispanic Town of Uxmal
    128     5    74    203     7.4503  Old City of Berne
    128     5    74    193    36.3700  Umm Al-Jimāl
    128     5    74    235    59.3781  Ancient City of Qalhat
    128     5    74    193    69.3702  Cultural Heritage Sites of Ancient Khuttal
    128     5    74    195   129.3490  Seokguram Grotto and Bulguksa Temple
    128     4    74    233  -111.6333  Writing-on-Stone / Áísínai’pi
    128     4    74    196  -101.1904  Historic Centre of Morelia
    128     4    74    196     1.4872  Chartres Cathedral
