subset,label,N,p0_pct,thresh_deg,thresh_km,n_Ap,obs_pct_Ap,OR_Ap,binom_Ap,sig_Ap,fish_Ap,n_C,obs_pct_C,OR_C,binom_C,sig_C
full,Full corpus (N=1011),1011,1.0,0.015,1.7,11,1.09,1.088,4.308e-01,ns,5.000e-01,11,1.09,1.088,4.308e-01,ns
full,Full corpus (N=1011),1011,1.5,0.0225,2.5,19,1.88,1.253,1.908e-01,ns,3.023e-01,17,1.68,1.121,3.512e-01,ns
full,Full corpus (N=1011),1011,2.0,0.03,3.3,26,2.57,1.286,1.200e-01,ns,2.281e-01,26,2.57,1.286,1.200e-01,ns
full,Full corpus (N=1011),1011,2.5,0.0375,4.2,35,3.46,1.385,3.653e-02,*,1.190e-01,33,3.26,1.306,7.701e-02,~
full,Full corpus (N=1011),1011,3.0,0.045,5.0,42,4.15,1.385,2.385e-02,*,9.323e-02,37,3.66,1.22,1.290e-01,ns
full,Full corpus (N=1011),1011,3.5,0.0525,5.8,50,4.95,1.413,1.053e-02,*,6.016e-02,41,4.06,1.159,1.889e-01,ns
full,Full corpus (N=1011),1011,4.0,0.06,6.7,56,5.54,1.385,1.030e-02,*,5.816e-02,46,4.55,1.137,2.059e-01,ns
full,Full corpus (N=1011),1011,4.5,0.0675,7.5,65,6.43,1.429,3.062e-03,**,3.101e-02,53,5.24,1.165,1.444e-01,ns
full,Full corpus (N=1011),1011,5.0,0.075,8.3,71,7.02,1.405,3.031e-03,**,3.780e-02,59,5.84,1.167,1.268e-01,ns
full,Full corpus (N=1011),1011,5.5,0.0825,9.2,77,7.62,1.385,2.942e-03,**,3.621e-02,63,6.23,1.133,1.701e-01,ns
full,Full corpus (N=1011),1011,6.0,0.09,10.0,82,8.11,1.352,4.044e-03,**,4.122e-02,69,6.82,1.137,1.498e-01,ns
full,Full corpus (N=1011),1011,6.5,0.0975,10.8,89,8.8,1.354,2.657e-03,**,3.281e-02,75,7.42,1.141,1.320e-01,ns
full,Full corpus (N=1011),1011,7.0,0.105,11.7,93,9.2,1.314,4.901e-03,**,4.344e-02,78,7.72,1.102,2.018e-01,ns
full,Full corpus (N=1011),1011,7.5,0.1125,12.5,97,9.59,1.279,8.374e-03,**,5.579e-02,81,8.01,1.068,2.844e-01,ns
full,Full corpus (N=1011),1011,8.0,0.12,13.3,104,10.29,1.286,5.579e-03,**,4.474e-02,85,8.41,1.051,3.325e-01,ns
full,Full corpus (N=1011),1011,8.5,0.1275,14.2,109,10.78,1.268,6.783e-03,**,4.862e-02,88,8.7,1.024,4.240e-01,ns
full,Full corpus (N=1011),1011,9.0,0.135,15.0,116,11.47,1.275,4.529e-03,**,3.905e-02,93,9.2,1.022,4.284e-01,ns
full,Full corpus (N=1011),1011,9.5,0.1425,15.8,124,12.27,1.291,2.211e-03,**,2.681e-02,100,9.89,1.041,3.509e-01,ns
full,Full corpus (N=1011),1011,10.0,0.15,16.7,132,13.06,1.306,1.056e-03,**,1.825e-02,104,10.29,1.029,3.956e-01,ns
religion,Religion-founding (N=577),577,1.0,0.015,1.7,8,1.39,1.386,2.242e-01,ns,3.946e-01,4,0.69,0.693,8.285e-01,ns
religion,Religion-founding (N=577),577,1.5,0.0225,2.5,14,2.43,1.618,5.639e-02,~,2.000e-01,7,1.21,0.809,7.620e-01,ns
religion,Religion-founding (N=577),577,2.0,0.03,3.3,20,3.47,1.733,1.390e-02,*,1.044e-01,13,2.25,1.127,3.710e-01,ns
religion,Religion-founding (N=577),577,2.5,0.0375,4.2,25,4.33,1.733,6.473e-03,**,5.108e-02,18,3.12,1.248,2.019e-01,ns
religion,Religion-founding (N=577),577,3.0,0.045,5.0,28,4.85,1.618,9.904e-03,**,6.375e-02,19,3.29,1.098,3.725e-01,ns
religion,Religion-founding (N=577),577,3.5,0.0525,5.8,32,5.55,1.585,8.093e-03,**,5.888e-02,21,3.64,1.04,4.585e-01,ns
religion,Religion-founding (N=577),577,4.0,0.06,6.7,35,6.07,1.516,1.083e-02,*,6.885e-02,23,3.99,0.997,5.362e-01,ns
religion,Religion-founding (N=577),577,4.5,0.0675,7.5,39,6.76,1.502,8.568e-03,**,6.245e-02,28,4.85,1.078,3.685e-01,ns
religion,Religion-founding (N=577),577,5.0,0.075,8.3,41,7.11,1.421,1.658e-02,*,8.728e-02,31,5.37,1.075,3.666e-01,ns
religion,Religion-founding (N=577),577,5.5,0.0825,9.2,44,7.63,1.386,1.945e-02,*,9.571e-02,33,5.72,1.04,4.340e-01,ns
religion,Religion-founding (N=577),577,6.0,0.09,10.0,47,8.15,1.358,2.227e-02,*,1.037e-01,36,6.24,1.04,4.288e-01,ns
religion,Religion-founding (N=577),577,6.5,0.0975,10.8,52,9.01,1.386,1.168e-02,*,7.661e-02,41,7.11,1.093,3.002e-01,ns
religion,Religion-founding (N=577),577,7.0,0.105,11.7,53,9.19,1.312,2.763e-02,*,9.708e-02,43,7.45,1.065,3.576e-01,ns
religion,Religion-founding (N=577),577,7.5,0.1125,12.5,54,9.36,1.248,5.656e-02,~,1.443e-01,45,7.8,1.04,4.148e-01,ns
religion,Religion-founding (N=577),577,8.0,0.12,13.3,60,10.4,1.3,2.346e-02,*,9.248e-02,48,8.32,1.04,4.105e-01,ns
religion,Religion-founding (N=577),577,8.5,0.1275,14.2,62,10.75,1.264,3.481e-02,*,1.154e-01,49,8.49,0.999,5.242e-01,ns
religion,Religion-founding (N=577),577,9.0,0.135,15.0,69,11.96,1.329,9.977e-03,**,6.196e-02,52,9.01,1.001,5.170e-01,ns
religion,Religion-founding (N=577),577,9.5,0.1425,15.8,73,12.65,1.332,7.708e-03,**,5.537e-02,57,9.88,1.04,3.985e-01,ns
religion,Religion-founding (N=577),577,10.0,0.15,16.7,76,13.17,1.317,8.480e-03,**,5.901e-02,59,10.23,1.023,4.486e-01,ns
dome,Dome/tholos/stupa (N=83),83,1.0,0.015,1.7,3,3.61,3.614,5.095e-02,~,3.102e-01,0,0.0,0.0,1.000e+00,ns
dome,Dome/tholos/stupa (N=83),83,1.5,0.0225,2.5,6,7.23,4.819,1.605e-03,**,5.852e-02,0,0.0,0.0,1.000e+00,ns
dome,Dome/tholos/stupa (N=83),83,2.0,0.03,3.3,6,7.23,3.614,6.509e-03,**,1.385e-01,1,1.2,0.602,8.130e-01,ns
dome,Dome/tholos/stupa (N=83),83,2.5,0.0375,4.2,8,9.64,3.855,1.138e-03,**,4.936e-02,1,1.2,0.482,8.777e-01,ns
dome,Dome/tholos/stupa (N=83),83,3.0,0.045,5.0,10,12.05,4.016,1.944e-04,***,1.597e-02,1,1.2,0.402,9.202e-01,ns
dome,Dome/tholos/stupa (N=83),83,3.5,0.0525,5.8,10,12.05,3.442,6.502e-04,***,3.982e-02,1,1.2,0.344,9.480e-01,ns
dome,Dome/tholos/stupa (N=83),83,4.0,0.06,6.7,11,13.25,3.313,4.734e-04,***,2.361e-02,1,1.2,0.301,9.662e-01,ns
dome,Dome/tholos/stupa (N=83),83,4.5,0.0675,7.5,11,13.25,2.945,1.238e-03,**,5.086e-02,2,2.41,0.535,8.925e-01,ns
dome,Dome/tholos/stupa (N=83),83,5.0,0.075,8.3,11,13.25,2.651,2.821e-03,**,5.086e-02,3,3.61,0.723,7.905e-01,ns
dome,Dome/tholos/stupa (N=83),83,5.5,0.0825,9.2,11,13.25,2.41,5.758e-03,**,9.364e-02,3,3.61,0.657,8.414e-01,ns
dome,Dome/tholos/stupa (N=83),83,6.0,0.09,10.0,11,13.25,2.209,1.073e-02,*,9.364e-02,4,4.82,0.803,7.408e-01,ns
dome,Dome/tholos/stupa (N=83),83,6.5,0.0975,10.8,11,13.25,2.039,1.851e-02,*,9.364e-02,5,6.02,0.927,6.334e-01,ns
dome,Dome/tholos/stupa (N=83),83,7.0,0.105,11.7,11,13.25,1.893,2.992e-02,*,1.530e-01,5,6.02,0.861,6.981e-01,ns
dome,Dome/tholos/stupa (N=83),83,7.5,0.1125,12.5,11,13.25,1.767,4.573e-02,*,1.530e-01,6,7.23,0.964,5.972e-01,ns
dome,Dome/tholos/stupa (N=83),83,8.0,0.12,13.3,11,13.25,1.657,6.659e-02,~,2.274e-01,6,7.23,0.904,6.606e-01,ns
dome,Dome/tholos/stupa (N=83),83,8.5,0.1275,14.2,12,14.46,1.701,4.786e-02,*,1.649e-01,7,8.43,0.992,5.654e-01,ns
dome,Dome/tholos/stupa (N=83),83,9.0,0.135,15.0,14,16.87,1.874,1.590e-02,*,8.004e-02,7,8.43,0.937,6.273e-01,ns
dome,Dome/tholos/stupa (N=83),83,9.5,0.1425,15.8,15,18.07,1.902,1.106e-02,*,8.839e-02,7,8.43,0.888,6.843e-01,ns
dome,Dome/tholos/stupa (N=83),83,10.0,0.15,16.7,16,19.28,1.928,7.643e-03,**,6.054e-02,7,8.43,0.843,7.356e-01,ns
mound,Dome + mound (N=104),104,1.0,0.015,1.7,3,2.88,2.885,8.688e-02,~,3.107e-01,0,0.0,0.0,1.000e+00,ns
mound,Dome + mound (N=104),104,1.5,0.0225,2.5,6,5.77,3.846,4.952e-03,**,1.397e-01,0,0.0,0.0,1.000e+00,ns
mound,Dome + mound (N=104),104,2.0,0.03,3.3,7,6.73,3.365,5.034e-03,**,8.505e-02,1,0.96,0.481,8.777e-01,ns
mound,Dome + mound (N=104),104,2.5,0.0375,4.2,9,8.65,3.462,1.239e-03,**,6.712e-02,1,0.96,0.385,9.281e-01,ns
mound,Dome + mound (N=104),104,3.0,0.045,5.0,11,10.58,3.526,3.035e-04,***,2.462e-02,1,0.96,0.321,9.579e-01,ns
mound,Dome + mound (N=104),104,3.5,0.0525,5.8,12,11.54,3.297,2.938e-04,***,3.282e-02,1,0.96,0.275,9.754e-01,ns
mound,Dome + mound (N=104),104,4.0,0.06,6.7,13,12.5,3.125,2.717e-04,***,2.007e-02,1,0.96,0.24,9.857e-01,ns
mound,Dome + mound (N=104),104,4.5,0.0675,7.5,13,12.5,2.778,8.179e-04,***,4.095e-02,2,1.92,0.427,9.509e-01,ns
mound,Dome + mound (N=104),104,5.0,0.075,8.3,13,12.5,2.5,2.095e-03,**,4.095e-02,3,2.88,0.577,8.972e-01,ns
mound,Dome + mound (N=104),104,5.5,0.0825,9.2,13,12.5,2.273,4.707e-03,**,7.360e-02,3,2.88,0.524,9.298e-01,ns
mound,Dome + mound (N=104),104,6.0,0.09,10.0,13,12.5,2.083,9.493e-03,**,7.360e-02,4,3.85,0.641,8.768e-01,ns
mound,Dome + mound (N=104),104,6.5,0.0975,10.8,13,12.5,1.923,1.749e-02,*,1.195e-01,5,4.81,0.74,8.133e-01,ns
mound,Dome + mound (N=104),104,7.0,0.105,11.7,13,12.5,1.786,2.985e-02,*,1.195e-01,5,4.81,0.687,8.605e-01,ns
mound,Dome + mound (N=104),104,7.5,0.1125,12.5,13,12.5,1.667,4.767e-02,*,1.788e-01,6,5.77,0.769,8.004e-01,ns
mound,Dome + mound (N=104),104,8.0,0.12,13.3,13,12.5,1.562,7.191e-02,~,1.788e-01,6,5.77,0.721,8.474e-01,ns
mound,Dome + mound (N=104),104,8.5,0.1275,14.2,14,13.46,1.584,5.755e-02,~,1.884e-01,7,6.73,0.792,7.903e-01,ns
